--;X;Y
1;30.7;11.5
2;32.6;11.7
3;36.2;11.6
4;38.1;11.5
5;39.9;11.6
6;41.6;11.6
7;43.5;11.6
8;45.2;11.6
9;47;11.6
10;32.7;13.4
11;41.6;13.5
12;43.4;13.4
13;22;15.1
14;23.7;15.3
15;30.9;15.2
16;32.6;15.3
17;39.9;15.2
18;43.5;15.2
19;45.2;15.2
20;47;15.2
21;48.7;15.3
22;50.6;15.1
23;23.7;17.1
24;25.5;16.9
25;27.2;17.1
26;29.2;17
27;30.9;17
28;32.7;17
29;34.5;17
30;36.2;17
31;38.1;17
32;39.8;17.1
33;41.6;17
34;43.3;16.9
35;46.9;17
36;48.8;17
37;50.6;17
38;52.4;17
39;21.9;18.9
40;23.8;18.8
41;25.5;18.8
42;27.3;18.8
43;30.8;18.8
44;32.6;18.9
45;36.2;18.9
46;38.1;18.9
47;39.9;18.8
48;41.6;18.9
49;43.3;18.8
50;45.2;18.9
51;46.9;18.8
52;48.7;18.8
53;52.4;18.7
54;54.1;18.8
55;22;20.6
56;23.8;20.7
57;25.5;20.6
58;27.3;20.6
59;29.2;20.6
60;30.8;20.7
61;39.7;20.5
62;41.5;20.6
63;43.5;20.5
64;45.1;20.6
65;46.9;20.6
66;50.6;20.7
67;52.3;20.6
68;54.2;20.6
69;23.7;22.4
70;25.5;22.4
71;30.9;22.4
72;34.5;22.4
73;36.3;22.5
74;38.1;22.5
75;39.8;22.4
76;41.6;22.4
77;45.2;22.5
78;52.3;22.4
79;54.1;22.4
80;22;24.3
81;23.7;24.2
82;25.5;24.2
83;36.2;24.2
84;38;24.3
85;39.8;24.1
86;41.6;24.3
87;43.5;24.2
88;45.2;24.2
89;47;24.3
90;50.4;24.3
91;54.1;24.2
92;21.9;26.1
93;23.8;26.1
94;25.5;26.1
95;27.3;26.1
96;29.1;26
97;31;26.1
98;34.5;26
99;36.2;26
100;37.9;26.2
101;39.8;26.1
102;41.6;26
103;43.4;26
104;45.2;26
105;48.7;26
106;50.5;26.2
107;54.2;26.1
108;32.6;27.8
109;36.3;27.9
110;38;27.8
111;39.8;27.8
112;41.5;27.9
113;43.4;27.9
114;45.1;27.9
115;48.8;27.8
116;52.3;27.9
117;30.8;29.7
118;36.3;29.7
119;38;29.7
120;39.7;29.7
121;47;29.7
122;48.7;29.5
123;52.4;29.7
124;30.9;35.2
125;32.7;33.3
126;43.3;31.5
127;47;31.6
128;48.8;31.5
129;52.4;31.5
130;54.2;31.4
131;54.2;33.3
132;52.2;33.3
133;48.8;33.1
134;47;33.3
135;43.4;33.3
136;41.6;33.2
137;38;35.2
138;32.6;9.8
139;41.6;9.8
140;43.4;35.1
141;45.2;35.1
142;46.9;35.1
143;48.7;35
144;50.6;35.1
145;52.4;35.1
146;54.1;35.1
147;55.8;35.1
148;37.9;36.9
149;39.9;36.9
150;41.5;36.9
151;43.4;36.9
152;37.9;38.6
153;39.9;38.6
154;43.3;38.6
155;38.1;40.5
156;39.7;40.6
157;41.6;40.5
158;43.4;40.4
159;41.6;42.3
160;39.9;42.4
161;43.4;42.3
162;45.1;42.3
163;41.7;44
164;43.4;44.1
165;45.1;44.1
166;43.3;45.9
167;43.3;47.6
168;45.1;47.6
169;47;45.9
170;30.9;45.8
171;36.1;45.9
172;38;45.9
173;32.5;47.6
174;36.3;47.7
175;38.1;47.8
176;30.8;49.4
177;32.7;49.4
178;34.4;49.4
179;36.2;49.4
180;37.9;49.4
181;29;51.3
182;30.8;51.2
183;32.6;51.2
184;27.5;53
185;29;53
186;30.7;53.1
187;32.6;53
188;27.3;54.8
189;29;54.8
190;30.7;54.9
191;30.8;56.7
192;23.6;60.2
193;25.5;60.1
194;27.2;60.3
195;28.9;58.4
196;27.2;62
197;25.5;62.2
198;23.7;62.1
199;29;60.3
200;43.2;60.3
201;45.1;60.2
202;43.3;62
203;45.2;62.1
204;25.5;63.9
205;23.6;63.8
206;21.9;62.1
207;22;60.2
208;22.1;58.6
209;20;60.2
210;20.2;58.5
211;20;56.7
212;18.1;62
213;18.3;60.2
214;18.3;58.5
215;18.4;56.7
216;18.3;54.8
217;16.5;53.1
218;16.5;54.8
219;16.5;56.6
220;16.6;60.3
221;14.7;60.3
222;14.8;58.6
223;14.8;56.7
224;13;58.5
225;13;36.9
226;13.1;42.3
227;13;44.2
228;14.9;36.9
229;14.8;38.7
230;14.7;42.4
231;14.8;44.2
232;14.8;45.9
233;14.8;47.6
234;14.9;49.4
235;16.6;49.7
236;16.4;47.5
237;16.5;45.7
238;16.7;44.2
239;16.7;42.3
240;16.5;38.7
241;16.6;36.9
242;18.5;38.7
243;18.4;36.9
244;20.2;24.2
245;20.1;26
246;18.5;26
247;20;27.9
248;18.3;27.8
249;16.6;27.9
250;14.9;29.7
251;16.7;29.7
252;18.5;29.7
253;16.6;31.5
254;13;33.3
255;14.8;33.3
256;13;35.1
257;16.5;35.1
258;18.4;35.1
259;16.6;33.3
260;43.4;63.8
261;43.3;65.6
