--;X;Y
1;53.2;24.7
2;33.4;4.3
3;37;4.2
4;38.9;4.4
5;31.6;6.1
6;33.4;6.2
7;35.3;6.1
8;37.2;6.1
9;38.9;6.1
10;40.7;6.2
11;42.5;6.1
12;31.6;8
13;33.5;7.8
14;35.3;7.9
15;37.1;7.8
16;39;7.9
17;40.7;7.9
18;42.6;8
19;44.3;7.8
20;31.7;9.8
21;33.5;9.7
22;35.3;9.8
23;38.9;9.8
24;31.7;11.6
25;33.5;11.6
26;42.4;11.5
27;29.9;13.3
28;31.6;13.4
29;33.5;13.5
30;35.2;13.4
31;40.7;13.4
32;28;15.2
33;29.8;15.3
34;31.7;15.3
35;33.6;15.3
36;35.3;15.2
37;37.1;15.2
38;38.9;15.3
39;28;17.1
40;30;17.1
41;31.7;17
42;33.5;17
43;35.3;17.1
44;37.1;17.1
45;38.9;17
46;44.4;16.8
47;44.2;18.8
48;42.4;18.8
49;40.8;18.8
50;38.8;18.8
51;37.1;18.8
52;35.3;18.8
53;33.6;18.8
54;31.7;18.9
55;29.9;18.8
56;28.2;18.9
57;26.3;18.9
58;22.7;20.9
59;24.6;20.7
60;26.3;20.7
61;28.2;20.7
62;29.9;20.7
63;31.7;20.7
64;33.5;20.6
65;35.3;20.6
66;37.1;20.7
67;38.9;20.7
68;40.6;20.6
69;42.5;20.5
70;44.5;20.4
71;44.3;22.4
72;42.5;22.4
73;40.7;22.4
74;38.9;22.6
75;35.3;22.6
76;33.6;22.5
77;28.1;22.5
78;26.3;22.5
79;24.6;22.5
80;22.6;24.3
81;26.3;24.3
82;28.1;24.3
83;29.7;24.3
84;33.5;24.3
85;35.3;24.3
86;37.2;24.2
87;40.7;24.2
88;42.6;24.2
89;44.4;24.2
90;40.8;26
91;38.9;26.1
92;37.1;26.1
93;35.4;26
94;33.5;26
95;31.7;26.1
96;30;26.1
97;28.1;26.2
98;26.3;26.1
99;24.6;26
100;20.9;26.1
101;24.3;28
102;28.2;27.9
103;29.8;28
104;31.7;27.9
105;33.6;27.9
106;35.3;28
107;37.2;27.9
108;39.1;27.9
109;40.9;27.9
110;42.7;27.8
111;42.6;29.7
112;40.7;29.7
113;37.2;29.7
114;35.4;29.6
115;33.6;29.7
116;31.7;29.7
117;30;29.8
118;22.7;29.7
119;21;31.4
120;24.4;31.6
121;31.8;31.3
122;33.8;31.6
123;21;33.4
124;24.6;33.2
125;26.3;33.4
126;28.1;33.3
127;29.8;33.2
128;31.8;33.2
129;33.5;33.4
130;35.4;33.2
131;35.3;35
132;33.5;35.1
133;30;35.1
134;28;35
135;26.2;35.2
136;22.7;37
137;26.2;37.1
138;28;36.9
139;29.8;37
140;31.7;36.9
141;33.5;36.9
142;33.7;38.6
143;31.8;38.6
144;28.1;38.8
145;19.1;28
146;19.2;33.5
147;26.4;56.8
148;26.6;58.5
149;24.6;58.6
150;22.7;58.5
151;21;58.6
152;17.4;60.4
153;19.2;60.4
154;21;60.4
155;22.8;60.4
156;24.6;60.3
157;22.8;62.2
158;21;62.2
159;19.1;62.2
160;17.4;62.2
