--;X;Y
1;11.3;19.7
2;5.9;21.6
3;7.6;21.5
4;9.4;21.5
5;11.2;21.5
6;18.6;21.5
7;4.1;23.5
8;5.9;23.3
9;7.7;23.3
10;9.5;23.2
11;11.3;23.4
12;13.1;23.2
13;14.9;23.2
14;16.7;23.3
15;18.6;23.4
16;4.3;25.2
17;5.9;25.2
18;11.4;25.1
19;13.2;25.1
20;15.1;25.1
21;16.7;25.1
22;13.2;27
23;13.1;28.8
24;15.1;28.7
25;7.9;28.8
26;5.9;26.9
27;4.1;30.7
28;9.5;30.6
29;11.4;30.5
30;11.4;32.2
31;9.6;32.3
32;7.9;32.4
33;6;32.4
34;4.2;32.4
35;4.2;34.1
36;6;34.1
37;7.9;34.1
38;4.3;36
39;7.9;36
40;9.5;36.1
41;9.6;37.6
42;9.5;39.6
43;7.9;37.8
44;7.8;39.6
45;6.1;39.6
46;4.2;37.8
47;4.3;39.5
48;4.3;41.5
49;6.2;41.5
