--;X;Y
1;25.4;12.7
2;27.1;12.7
3;18.2;14.5
4;20.2;14.4
5;21.9;14.4
6;23.6;14.5
7;25.4;14.5
8;27.2;14.4
9;27.3;16.3
10;25.4;16.3
11;23.7;16.3
12;22;16.2
13;20.1;16.2
14;18.3;16.3
15;16.5;16.2
16;14.5;16.4
17;23.8;17.9
18;21.7;17.9
19;20.1;18.1
20;18.4;17.9
21;16.4;18.1
22;21.8;19.8
23;20.1;19.9
24;18.4;19.8
25;16.5;19.7
26;14.7;19.8
27;13;19.9
28;11.2;19.9
29;18.3;21.7
30;16.6;21.5
31;14.8;21.6
32;13;21.6
33;9.4;23.3
34;13;23.3
35;14.8;23.4
36;16.5;23.3
37;18.2;23.3
38;18.5;25.2
39;14.9;25
40;13;25.2
41;11.2;25.2
42;9.4;25.3
43;7.7;24.9
44;7.6;26.9
45;9.6;27
46;11.2;26.9
47;13;26.9
48;14.7;26.9
49;16.5;26.9
50;14.8;28.7
51;12.9;28.7
52;11.2;28.8
53;9.3;28.8
54;16.7;30.5
55;14.6;30.6
56;13;30.5
57;11.2;30.6
58;9.5;30.6
59;7.7;30.4
60;7.5;32.2
61;9.4;32.3
62;11.2;32.3
63;12.9;32.3
64;14.9;32.2
65;14.8;34.1
66;13;34
67;11.1;34
68;9.5;34.1
69;7.6;34
70;13;35.8
71;16.6;37.6
72;14.8;37.6
73;13;37.5
74;11.2;37.6
75;9.4;37.5
76;7.6;37.6
77;7.7;39.4
78;9.4;39.4
79;11.2;39.4
80;13;39.4
81;14.9;39.4
82;18.4;41.2
83;16.5;41.2
84;14.7;41.1
85;13.1;41.2
86;11.3;41
87;9.4;41.1
88;7.6;41.2
89;7.7;42.9
90;11.2;43
91;13.1;43
92;14.7;42.9
93;18.4;42.9
94;20.1;43
95;18.3;44.8
96;16.5;44.7
97;14.8;44.7
98;11.3;44.8
99;7.6;44.7
100;13.1;46.4
101;14.8;46.6
102;16.6;46.4
103;18.4;46.6
104;20.1;46.5
105;21.9;46.5
106;25.5;46.6
107;23.8;48.3
108;21.9;48.2
109;20.1;48.3
110;18.3;48.3
111;16.6;48.3
112;14.8;48.2
113;13;48.3
114;11.2;48.2
115;11.2;50
116;13.1;50
117;14.9;50
118;16.6;50
119;18.4;50
120;20.1;50
121;21.9;50.1
122;25.5;50.1
123;27.2;50.1
124;25.5;51.8
125;23.6;51.8
126;21.9;51.8
127;20.1;51.8
128;18.4;51.8
129;16.6;51.8
130;13;51.9
131;16.6;53.6
132;18.5;53.5
133;20.1;53.4
134;21.9;53.7
135;23.7;53.7
136;25.6;53.8
137;27.3;53.7
138;25.4;55.4
139;18.4;55.4
140;20.3;55.3
141;23.7;57.2
142;29.1;44.6
143;30.9;44.6
144;28.9;46.5
145;30.9;46.6
146;29;48.3
147;29.1;50.1
148;31;50.1
149;29.1;55.4
150;32.7;55.3
151;32.6;57.2
152;30.8;57.2
153;27.2;58.8
154;29.1;58.9
155;30.8;58.9
156;32.6;58.9
157;34.3;59
158;29;60.7
159;30.8;60.7
160;34.4;60.8
161;36.3;60.8
162;36.2;62.4
163;34.4;62.4
164;32.6;62.4
165;30.9;62.5
