--;X;Y
1;26.4;44.6
2;26.5;46.4
3;30;46.4
4;26.3;48
5;26.2;49.8
6;28;48
7;29.8;48.2
8;31.7;48.3
9;31.6;50
10;29.8;50
11;28;49.9
12;28;51.6
13;28.1;53.3
14;29.7;53.5
15;31.6;53.6
16;31.6;51.7
17;29.8;51.8
18;51.5;43.3
19;49.7;45
20;51.4;45
21;53.3;45.2
22;54.9;45.2
23;49.6;46.8
24;51.4;46.9
25;53.1;47
26;54.9;47
27;49.4;48.7
28;51.4;48.8
29;53.1;48.8
30;55;48.7
31;49.5;50.4
32;51.2;50.4
33;53.1;50.5
34;54.9;50.5
35;44.1;52.1
36;46;52.1
37;47.6;52.1
38;51.2;52.3
39;54.8;52.4
40;46;54
41;47.6;53.9
42;49.4;53.9
43;53;54.1
44;54.8;54.2
45;47.6;55.7
46;51.1;55.9
47;52.9;55.9
48;54.8;56
49;49.4;57.6
50;51.1;57.6
51;53;57.7
52;54.6;57.8
53;49.3;59.3
54;51;59.4
55;52.8;59.5
56;54.5;61.1
57;52.8;63.1
58;50.9;63
59;49.2;62.9
60;56.8;47.1
61;56.6;48.9
62;56.6;50.5
63;58.3;52.4
64;60.3;52.4
65;56.6;54.1
66;56.5;56
67;56.6;57.8
68;54.6;59.5
69;20.1;6.2
70;21.9;6.2
71;20.3;7.9
