--;X;Y
1;15.5;27
2;17.3;27.1
3;19;27
4;20.9;26.8
5;22.6;27
6;19.1;28.7
7;20.9;28.6
8;22.6;28.7
9;24.5;28.6
10;26.2;28.5
11;28;28.6
12;29.8;28.5
13;29.9;30.3
14;29.8;26.9
15;27.9;30.3
16;26.2;30.4
17;24.5;30.5
18;20.9;30.5
19;19;30.6
20;15.7;32.4
21;17.3;32.3
22;19.1;32.3
23;20.9;32.2
24;22.7;32.3
25;24.5;32.1
26;26.3;32.2
27;28;32.2
28;29.8;32
29;31.6;32
30;31.5;30.3
31;13.8;34.2
32;17.4;34.1
33;19.1;34.1
34;21;34.1
35;24.6;34
36;26.3;34
37;28.1;33.8
38;29.8;33.9
39;31.7;33.8
40;31.7;35.6
41;29.8;35.7
42;28.1;35.6
43;26.4;35.7
44;24.6;35.7
45;22.7;35.8
46;21;35.8
47;19.3;35.9
48;17.5;35.9
49;15.6;36
50;13.9;35.9
51;12.1;37.8
52;13.9;37.8
53;15.7;37.8
54;17.4;37.6
55;19.2;37.7
56;21;37.6
57;22.8;37.6
58;24.6;37.6
59;26.4;37.4
60;30;37.4
61;31.9;37.4
62;31.8;39.1
63;29.9;39.3
64;28.2;39.2
65;26.3;39.3
66;24.5;39.3
67;22.8;39.4
68;21.1;39.3
69;19.2;39.5
70;17.4;39.4
71;15.7;39.4
72;13.9;39.5
73;15.6;41.3
74;17.5;41.3
75;19.5;41.2
76;21.1;41.2
77;23;41.1
78;24.7;41.1
79;26.4;41.1
80;28.2;40.9
81;30;40.9
82;31.9;40.9
83;31.8;42.7
84;30;42.7
85;28.2;42.7
86;26.4;42.8
87;24.7;42.8
88;22.8;42.9
89;21.1;42.9
90;19.3;43
91;33.6;42.8
92;19.3;44.7
93;21.1;44.7
94;23.1;44.6
95;24.7;44.7
96;26.6;44.6
97;30;44.5
98;31.8;44.5
99;33.6;44.6
100;35.5;44.3
101;21.1;46.6
102;23;46.5
103;24.9;46.4
104;26.6;46.4
105;28.2;46.3
106;30.1;46.2
107;32;46.2
108;33.5;46.2
109;37.2;46.1
110;23;48.2
111;28.4;48.1
112;30;48.1
113;32;48.1
114;33.7;48
115;37.2;48
116;39;48
117;39;49.8
118;37.2;49.8
119;35.4;49.8
120;33.7;49.8
121;32;49.8
122;30.2;49.8
123;28.5;49.8
124;26.5;49.9
125;24.6;50
126;26.5;51.7
127;28.5;51.6
128;30.2;51.7
129;30.2;53.4
130;37.2;51.5
131;39;51.4
132;33.4;28.5
133;33.4;30.2
134;33.4;32
135;33.4;33.8
136;35.4;33.8
137;35.2;31.9
138;35.1;30.1
139;35.1;28.2
140;35;26.7
141;36.7;28.4
142;37;30.1
143;37;31.9
144;36.9;33.8
145;38.7;33.7
146;38.7;31.9
147;38.6;28.4
148;38.7;26.6
149;36.9;26.6
150;40.6;28.3
151;42.4;28.3
152;44;28.2
153;44.2;30
154;42.3;31.9
155;40.6;31.9
156;40.6;33.7
157;42.2;33.7
158;44.1;33.6
159;46;33.6
160;47.6;33.6
161;40.7;35.4
162;42.3;35.4
163;45.8;24.7
164;40.8;49.7
165;40.9;51.5
166;40.8;53.2
167;42.7;53.2
168;42.6;51.5
169;42.6;49.4
170;42.6;47.9
171;42.5;45.9
172;42.6;44.3
173;42.5;42.4
174;44.4;53.1
175;44.4;51.4
176;46.2;51.3
177;46.2;53.1
178;44.4;47.6
179;44.3;46
180;44.3;42.4
