--;X;Y
1;8.8;13.4
2;10.5;13.3
3;7;15.3
4;8.7;15.1
5;12.2;15.2
6;14.1;15.2
7;14.3;17
8;12.3;16.9
9;10.5;17.1
10;6.9;17
11;8.7;18.8
12;10.5;18.8
13;12.4;18.8
14;14.3;18.8
15;41.2;27.6
16;43;27.6
17;46.6;27.5
18;48.5;27.5
19;33.9;29.5
20;37.6;29.4
21;41.2;29.4
22;43;29.4
23;46.7;29.4
24;48.4;29.4
25;50.2;29.4
26;34;31.2
27;35.7;31.2
28;37.6;31.3
29;41.2;31.2
30;46.6;31.2
31;48.5;31.2
32;52;31.2
33;34;33
34;35.8;33
35;39.4;33.1
36;43;33
37;44.8;33
38;48.4;32.9
39;52.1;32.9
40;54;32.9
41;35.8;34.8
42;37.6;34.9
43;39.4;34.8
44;43;34.8
45;48.5;34.7
46;52;34.7
47;53.9;34.7
48;35.8;36.6
49;37.7;36.6
50;39.4;36.6
51;41.3;36.7
52;43.1;36.5
53;34;38.3
54;37.7;38.3
55;39.4;38.4
56;41.3;38.5
57;44.9;38.4
58;34.1;40.3
59;37.6;40.2
60;41.3;40.2
61;43.1;40.2
62;46.6;40.1
63;44.9;40.2
64;50.3;40.1
65;35.8;42
66;37.7;42
67;39.5;42
68;41.2;42
69;39.4;43.9
70;43.1;43.9
71;44.9;41.9
72;46.6;41.9
73;48.4;41.9
74;50.2;42
75;52.1;41.9
76;48.5;43.7
77;46.6;43.8
78;44.9;43.7
79;52.1;43.8
80;54;43.8
81;55.7;34.8
82;55.7;36.6
83;53.8;36.5
84;57.5;38.3
85;57.5;40.2
86;57.4;42
87;57.5;43.7
88;55.7;43.8
89;55.6;41.8
90;59.4;41.9
91;59.3;43.7
