--;X;Y
1;47.5;25.5
2;49.4;25.5
3;43.9;27.4
4;45.7;27.3
5;47.5;27.3
6;49.3;27.3
7;51;27.3
8;52.8;27.3
9;40.3;29.2
10;42.3;29.2
11;44;29.2
12;45.7;29.2
13;52.9;29
14;54.7;29
15;38.5;31
16;40.3;31.1
17;42.2;31.2
18;43.9;31
19;45.6;30.9
20;47.5;30.9
21;49.2;30.9
22;51.1;30.9
23;52.8;30.8
24;54.6;30.9
25;56.4;30.8
26;56.4;32.6
27;54.6;32.6
28;52.8;32.6
29;51.1;32.7
30;47.5;32.6
31;45.7;32.7
32;40.4;32.8
33;38.7;32.8
34;38.6;34.6
35;40.4;34.5
36;42.2;34.5
37;43.8;34.4
38;45.6;34.6
39;51.1;34.5
40;52.8;34.4
41;54.6;34.4
42;56.4;34.4
43;58.2;36.1
44;54.6;36.2
45;52.9;36.3
46;45.7;36.3
47;44;36.3
48;42.2;36.4
49;40.4;36.4
50;42.1;38.2
51;43.9;38.2
52;54.6;38
53;56.4;38
54;58.2;38
55;60;38
