--;X;Y
1;31.4;14.4
2;33.1;14.3
3;31.3;16.1
4;33.2;16.1
5;29.5;16.3
6;29.5;18
7;31.3;17.9
8;33;18
9;34.9;17.9
10;29.5;19.7
11;31.4;19.8
12;33.1;19.8
13;38.4;18
14;38.4;19.7
15;31.3;21.5
16;33.1;21.5
17;29.4;23.3
18;31.3;23.3
19;32.9;23.4
20;34.8;23.3
21;25.9;25
22;27.7;25.2
23;29.5;25.2
24;31.2;25.2
25;34.8;25.1
26;36.6;25.2
27;38.4;25.2
28;40.2;25.3
29;42;25.2
30;25.8;26.9
31;27.7;26.9
32;29.5;26.9
33;31.2;27.1
34;33;26.9
35;34.8;27
36;38.3;27
37;40.2;27.1
38;22.4;28.7
39;24;28.7
40;25.9;28.7
41;27.8;28.8
42;29.5;28.8
43;31.2;28.8
44;33.1;28.8
45;34.9;28.8
46;36.6;29
47;40.2;28.8
48;38.4;30.6
49;34.9;30.6
50;33;30.6
51;31.2;30.6
52;29.5;30.6
53;27.6;30.6
54;25.9;30.6
55;20.5;30.5
56;27.7;32.3
57;31.2;32.4
58;33.1;32.5
59;34.8;32.4
60;36.6;32.3
61;27.6;34.1
62;31.2;34.2
63;22.3;35.9
64;24;36
65;25.8;35.9
66;27.7;35.9
67;25.8;39.5
68;43.6;46.9
69;2.6;32.1
70;2.6;35.8
71;4.4;35.9
72;2.7;37.6
73;0.8;37.7
74;0.8;35.8
75;0.9;39.3
76;2.5;39.4
77;0.8;41.3
78;4.5;41.2
79;4.3;39.4
