--;X;Y
1;40.3;28.2
2;42;28.2
3;36.7;30
4;40.3;29.9
5;42;29.9
6;43.9;30
7;45.7;29.9
8;36.7;31.9
9;38.5;31.9
10;40.3;31.7
11;42.1;31.8
12;43.9;31.7
13;45.6;31.7
14;47.5;31.8
15;36.7;33.7
16;38.5;33.6
17;40.3;33.7
18;42.2;33.7
19;43.9;33.5
20;45.8;33.5
21;47.5;33.6
22;36.7;35.3
23;38.5;35.4
24;40.3;35.4
25;42.2;35.4
26;43.9;35.3
27;45.7;35.3
28;34.9;37.3
29;40.3;37.2
30;42.2;37.2
31;43.8;37.2
32;45.6;37.2
33;47.6;37
34;40.3;39
35;42.1;39
36;43.9;39.1
37;45.7;39
