--;X;Y
1;25.4;44.2
2;27.2;44.1
3;28.9;44.1
4;30.8;42.3
5;30.8;40.6
6;32.6;38.7
7;32.4;40.5
8;34.1;40.5
9;25.7;45.9
10;27.1;45.8
11;27.2;47.8
12;34.2;42.3
13;27.8;49.4
14;29.2;49.2
15;30.9;49.4
16;32.6;49.2
17;33.8;47.9
18;36.1;47.8
19;37.9;47.8
20;41.4;47.7
21;41.3;45.6
22;39.5;49.5
23;30.7;51
24;32.4;50.9
25;34;51
26;36.1;51.1
27;38.1;51.2
28;40;51.4
29;41.7;51.3
30;43.3;51.3
31;31;53
32;32.9;52.8
33;34.5;52.8
34;35.8;52.7
35;38.2;52.8
36;37.7;55.8
37;39.6;56
38;43.3;56.4
39;41.5;56.2
40;45.1;56.4
41;43.7;55.2
42;43.1;54.6
43;44.3;54
44;45.2;54.5
45;46.3;52.9
46;46.7;51.1
47;48.6;51.2
48;41.4;49.5
49;43.4;47.4
50;43.1;45.9
51;45.1;45.8
52;34.3;44.1
53;34.2;45.9
54;32.6;44.2
55;46.7;45.8
56;48.6;45.8
57;50.3;45.8
58;52.1;45.7
59;53.9;45.7
60;53.9;47.6
61;52;47.6
62;50.4;47.5
63;48.5;47.7
64;46.7;47.7
65;45;47.7
66;52.2;49.2
67;39.5;29.7
68;39.5;27.8
69;39.6;25.9
70;41.3;26
71;43;26
72;44.7;26
73;46.5;26
74;46.5;27.9
75;44.7;29.6
76;46.7;29.8
77;46.6;31.5
78;48.4;31.4
79;50.2;31.4
80;51.9;31.4
81;53.8;31.2
82;53.8;33.2
83;51.9;33.2
84;50.1;33.2
85;51.8;34.9
86;53.9;34.8
87;48.4;37
88;50.3;36.8
89;52.1;36.9
90;53.8;36.9
91;50.3;38.7
92;52.1;38.6
93;54;38.7
94;50.4;40.5
95;48.5;40.4
96;46.6;42.1
97;48.7;42.1
98;50.1;42
99;52.1;42.2
100;53.9;42.3
101;53.8;44.2
102;52.2;44
103;50.2;44.1
104;48.5;43.9
105;55.3;31.4
106;55.5;33.1
107;55.6;35
108;55.5;38.6
109;55.6;40.2
110;55.5;42.2
111;55.7;44
112;34;54.6
113;39.5;54.5
114;43;22.8
115;44.7;24.1
