--;X;Y
1;55.5;24.2
2;57.3;24.2
3;59.1;24.4
4;60.9;24.5
5;55.4;25.9
6;57.1;26.1
7;59;26.2
8;60.8;26.2
9;55.2;27.7
10;57;27.8
11;58.8;28
12;60.7;28.1
13;62.4;28.3
14;55.1;29.5
15;56.9;29.7
16;58.6;29.7
17;60.5;29.9
18;62.3;30.1
19;53.1;31.3
20;55.1;31.3
21;56.8;31.4
22;58.6;31.5
23;60.3;31.7
24;62.2;31.9
25;64;32
26;54.8;33.1
27;56.5;33.1
28;58.5;33.3
29;60.2;33.5
30;62;33.5
31;5.7;36.7
32;9.3;37
33;5.5;38.5
34;7.4;38.6
35;9.1;38.7
36;11;38.9
37;3.6;40.2
38;5.5;40.3
39;7.3;40.4
40;9.2;40.6
41;3.6;41.9
42;5.4;42
43;7.1;42.3
44;8.9;42.3
45;10.9;42.4
46;5.1;43.9
47;7;44
