--;X;Y
1;16.4;36
2;16.5;37.8
3;16.5;39.6
4;18.3;39.6
5;18.2;37.7
6;18.2;36
7;18.1;34.1
8;19.9;36
9;20.1;39.6
10;21.9;39.5
11;23.6;41.3
12;23.7;43.2
13;21.8;41.3
14;23.6;44.9
15;23.7;46.7
16;21.9;45
17;27.1;32.4
18;28.9;30.5
19;28.8;32.3
20;28.8;34
21;30.6;34.1
22;32.5;34.1
23;39.5;23.1
24;41.3;23.1
25;43;23.1
26;43.1;24.9
27;43.2;33.8
28;39.6;34
29;37.8;35.6
30;41.3;35.6
31;43.3;35.4
32;39.5;37.5
33;41.5;37.5
34;43.3;37.5
35;43.3;39.1
36;41.3;39.3
37;39.5;44.7
38;39.5;46.8
39;44.9;33.8
40;46.8;33.8
41;50.3;33.8
42;53.9;33.7
43;59.3;33.6
44;45;35.6
45;46.8;35.6
46;48.6;35.5
47;50.5;35.6
48;52.1;35.5
49;53.9;35.5
50;55.7;35.5
51;46.7;37.3
52;48.7;37.3
53;50.5;37.5
54;52.1;37.3
55;54;37.3
56;55.7;39.1
57;53.9;39.2
58;54;41
59;57.6;42.5
60;38;51.8
61;39.8;51.9
62;41.7;51.8
63;41.3;49.9
64;43.5;50.1
65;60.9;17.2
66;62.6;17.4
67;64.4;15.5
68;64.4;18.9
69;60.9;19.1
70;60.9;20.9
71;62.8;20.8
72;62.7;22.8
73;62.8;26.3
74;62.7;24.5
