--;X;Y
1;18.5;28.8
2;20.2;28.8
3;18.4;30.7
4;20.2;30.6
5;21.9;30.7
6;23.8;30.7
7;16.6;32.4
8;20.2;32.4
9;21.9;32.5
10;23.8;32.5
11;25.6;32.5
12;18.4;34.2
13;20.2;34.2
14;23.7;34.3
15;25.7;34.2
16;27.3;34.3
17;29.1;34.4
18;25.5;36
19;27.4;36
20;29;36.1
21;30.9;36.1
22;32.8;36.2
23;32.7;37.8
24;30.9;37.9
25;29.1;37.8
26;32.7;39.6
27;32.7;41.4
28;30.8;41.4
29;30.8;43.2
30;27.2;43.3
31;25.4;43.2
32;23.7;43.3
33;27.3;45
34;25.5;44.9
35;23.7;44.9
36;23.6;46.6
37;25.4;46.7
38;27.3;46.7
39;27.1;48.5
40;25.5;48.5
41;23.6;48.4
42;21.9;48.4
43;21.9;46.7
44;20.1;44.9
45;19.9;46.5
46;18.3;46.6
47;16.6;46.6
48;16.4;48.4
49;16.5;50.1
50;16.4;52
51;14.7;52
52;14.7;53.6
53;14.7;50.1
54;14.7;48.5
55;14.7;46.6
56;14.7;44.8
57;12.9;44.8
58;13;46.6
59;13;48.4
60;12.9;50.1
61;12.8;51.9
62;12.8;53.8
63;11;51.9
64;11.1;50.2
65;11.1;48.4
66;11.1;46.6
67;9.3;48.2
68;9.3;50.2
69;9.2;51.9
70;7.4;52
71;7.5;50.2
72;7.5;48.3
73;7.6;43
74;7.7;41.2
75;7.7;39.4
76;5.8;42.9
77;5.8;41.2
78;5.8;39.4
79;3.9;39.5
80;4.1;41.2
81;4.1;37.8
82;4;35.8
83;40;20.3
84;41.8;20.3
85;38.2;21.9
86;38.1;25.6
87;38.2;27.3
88;38.1;29
89;39.9;29.1
90;39.9;30.8
91;41.7;32.7
92;43.5;30.9
93;50.4;39.9
94;52.4;40
95;54;39.9
96;52.2;41.7
97;54.1;41.7
98;57.5;43.5
99;59.3;43.5
100;61.1;43.5
101;59.4;45.2
102;57.6;45.3
103;62.9;45.3
104;64.8;45.3
105;63;43.4
106;64.9;34.5
107;64.8;36.5
108;64.9;38.3
109;63.2;24
110;65.1;23.9
111;65.1;25.7
112;64.9;27.5
113;63.2;25.8
