 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.5,25.9,35.9,0.8,25.6,35.9,0,0.8
2,0.5,27.7,35.9,0.8,27.3,35.9,0,0.8
3,0.5,27.7,37.7,0.8,27.3,37.7,0,0.8
4,0.5,25.9,37.7,0.8,25.5,37.7,0,0.8
